authorMeta.avatar,authorMeta.name,text,diggCount,shareCount,playCount,commentCount,videoMeta.duration,musicMeta.musicName,musicMeta.musicAuthor,musicMeta.musicOriginal,createTimeISO,webVideoUrl
https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/47a58fc605c48d9af25fb245302573a7~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=25f49708&x-expires=1766991600&x-signature=JZaKGztZ%2FKMra1%2B45lNdWwIw9AM%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,bsthuongyeu286,Bột tam thất nên dùng thế nào cho hiệu quả rất quan trọng nhé cả nhà! #bsthuongyeu #suckhoe #ungthu #nhanhoaydao #songkhoe247 ,788,234,35100,90,394,Piano  lyrical  elegant  cheerful  bright  relaxed Piano  Elegant  Lyrical  Luminous  Bright  Classical  Relaxing,疯狂生长,False,2025-12-27T02:51:33.000Z,https://www.tiktok.com/@bsthuongyeu286/video/7588364898854341909
https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/34729e3fe467e97f1449d49546e9f522~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=fca4400b&x-expires=1766991600&x-signature=qBlsXrOSSGrYVmfCxuc%2BovQEdHM%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,vtv24news,"Vắc xin phế cầu và vắc xin ngừa ung thư cổ tử cung HPV sẽ được tiêm miễn phí từ năm 2026.
#vacxinungthu #hpv #phecau #tiemchungmorong",6564,1124,305600,74,44,nhạc nền - VTV24,VTV24,True,2025-12-27T06:00:00.000Z,https://www.tiktok.com/@vtv24news/video/7588378529369312530
https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/53413837067dfbbfa4d792441334850b~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=415b052c&x-expires=1766991600&x-signature=qTrzmSYNcM9I%2FHVrJSJQWjxdHjw%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,hanhtrinhtrove1,Hoang mang nhận tin dữ ung thư #ungthu #ungthuphoi #ungthuvomhong #ungthugan #ungthucotucung ,32,1,3813,2,66,nhạc nền - Hành Trình Trở Về,Hành Trình Trở Về,True,2025-12-26T13:01:06.000Z,https://www.tiktok.com/@hanhtrinhtrove1/video/7588150902134033672
https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/1df5f8e0d18e5b7978e05a15b0d0419c~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=0a17a28e&x-expires=1766991600&x-signature=RhdqRFLNPb71wVQVxVuWfzfy%2FkQ%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,60giay.com,"MỖI BÓ LƯỚI ĐƯỢC TRẢ 1.700 ĐỒNG, NAM SINH VẪN CẶM CỤI CẢ NGÀY, CỐ ĐAN ĐƯỢC 10 BÓ ĐỂ ĐỔI LẤY 17.000 ĐỠ ĐẦN MẸ ĐANG BỊ UNG THƯ MÁU #60giay #theanh28news #theanh28",126000,13700,1700000,958,39,Take Your Ease Under The Stars,NS Records,False,2025-12-26T03:25:13.000Z,https://www.tiktok.com/@60giay.com/video/7588002295766387988
https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/3dc9a75f39803a96c07fd0352b9de64f~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=227761a4&x-expires=1766991600&x-signature=JNS2FVHIAqIOuqkHFIfNlGRHcFw%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,nhinhiivh,Hãy yêu thương tế bào ung thư #sachhay #caunoihaymoingay🍀🍀 #ungthu #gocnhocuanhi #doantrichhay ,459,8,5010,14,79,nhạc nền - Góc nhỏ của Nhi 🐰,Góc nhỏ của Nhi 🐰,True,2025-12-27T01:13:45.000Z,https://www.tiktok.com/@nhinhiivh/video/7588339680362433800
https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/f424dc0c7323bb73dd5b18e723b76597~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=7d65365c&x-expires=1766991600&x-signature=5YeZpqPWxmnlRiKPIK7z6WFMGxE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,cobaxuanmai,7 dấu hiệu nhận biết ung thư cổ tử cung giai đoạn đầu #ungthucotucung #suckhoechomoinguoi ,38200,3252,1800000,947,459,nhạc nền,Xuân.Mai.,True,2025-03-22T14:31:03.000Z,https://www.tiktok.com/@cobaxuanmai/video/7484641316769402133
https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/1e206fdb29906d4024e7b72c0b564976~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=bc15e939&x-expires=1766991600&x-signature=bmD6Q93BzN3rHmJ9sPrTVJs%2Fk2g%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,hungvotu98,"Trả lời @Thư Trần mình đã phát hiện ung thư như thế nào?
#ungthuvu #ungthu #nghilucsong #suckhoe #huongvotu98 ",11500,714,918900,503,140,nhạc nền - NHẠC KHÔNG LỜI,NHẠC KHÔNG LỜI,True,2025-09-12T12:20:07.000Z,https://www.tiktok.com/@hungvotu98/video/7549176413283306770
https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/cd04c4639d5962cc3b3057d04e3f1a2a~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=6bceff84&x-expires=1766991600&x-signature=01QvO6%2BIVRstN3%2FlN6dhbF10hB8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,bshang1982,"Ung thư sẽ đến nhanh nếu vẫn theo lối sống cữ#viraltiktok ##creatorsearchinsights #ungthu #suckhoe #bshangchuyengiadinhduong 
@Bs Hằng 
@Bs Hằng 
@Bs Hằng ",87,14,7136,13,282,nhạc nền - Bs Hằng,Bs Hằng,True,2025-12-25T14:28:33.000Z,https://www.tiktok.com/@bshang1982/video/7587802356482346258
https://p16-common-sign.tiktokcdn-us.com/tos-useast2a-avt-0068-giso/70a02b8db9121de371f1174dc21dd051~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=5997ccaa&x-expires=1766991600&x-signature=NyOEYDAGUfD3Vd3ioA1iYpY1me4%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,bacsivuhaiubuou,"Tại sao chúng ta lại bị u.ng th.ư
#ungthu #suckhoe #suckhoechomoinguoi #bacsivuhai",217,15,19800,19,133,nhạc nền - Bác sĩ Vũ Hải,Bác sĩ Vũ Hải,True,2024-07-25T02:30:00.000Z,https://www.tiktok.com/@bacsivuhaiubuou/video/7395367071971855617
https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/991558af3b80e40fa130703c24b34fcd~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=7ba6bea8&x-expires=1766991600&x-signature=Mkmz9EzpAZdNXxMcFncPepmHKPg%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,chamsocsuckhoephunu9,"Cô gái phát hiện ung thư giai đoạn cuối vì thói quen ăn uống gây hại cho sức khoẻ.
#suckhoephunu #theanh28 #dcgr #suckhoe #ungthu #phunu #tintuc ",8216,2662,932400,183,61,nhạc nền - suckhoephunu,Sức Khoẻ Phụ Nữ,True,2024-03-21T04:32:02.000Z,https://www.tiktok.com/@chamsocsuckhoephunu9/video/7348669792242388231
https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/95df9677d7ca5110641a730cf4cac51f~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=6f9184ad&x-expires=1766991600&x-signature=dbJNaMD7TspdJYsTB%2FlIE2qiV8w%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,lethang3693,"Ung Thư
#ungthu #songkhoemoingay #cuocsong ",3638,2859,196400,149,228,nhạc nền - Bình Lê ✨,Hữu Bình 🇻🇳,True,2025-10-07T00:39:32.000Z,https://www.tiktok.com/@lethang3693/video/7558272968778976519
https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/740dc98e7cccbe52fe303335cdd6145f~tplv-tiktokx-cropcenter:720:720.jpeg?dr=9640&refresh_token=5301c8b9&x-expires=1766991600&x-signature=lGzIkNKPu8FkqnUKfPQ4E7%2BSFAE%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=81f88b70&idc=useast5,bacsithangtrang,"20 TUỔI NGHI NGỜ MẮC UNG THƯ BUỒNG TRỨNG😰 cùng bác Thắng chia sẻ khi gặp dấu hiệu bất thường nhé 
#ungthu #spkThangTrang #bsThang #bsTrang",32,0,3583,4,84,nhạc nền - Phòng khám bác sĩ Thắng Trang,Phòng khám bác sĩ Thắng Trang,True,2025-12-26T12:31:37.000Z,https://www.tiktok.com/@bacsithangtrang/video/7588143309281840404
