platform,type,keyword,video_id,title,description,upload_date,channel_name,channel_id,uploader_id,duration,view_count,url,label
youtube,shorts,cam kết khỏi bệnh,bE0mA6c8J6Y,70% người nhiễm HIV tại Việt Nam không còn nguy cơ lây HIV | VTV24,"70% người nhiễm HIV ở Việt Nam không còn khả năng lây nhiễm HIV vì lượng virus trong máu rất thấp, không có nguy cơ lây nhiễm HIV
----------
Đồng hành cùng VTV Digital tại:

Ứng dụng VTVgo
Android: https://bit.ly/305aQLs
iOS: https://apple.co/3g8yMTS
hoặc xem trực tiếp trên https://vtvgo.vn/

Báo điện tử: https://VTV.vn

Fanpage:
Tin tức, Xã hội: https://fb.com/tintucvtv24
Chuyên trang Tài Chính: https://fb.com/VTVMoney
Báo điện tử VTV: https://fb.com/baodientuvtv

Youtube: https://youtube.com/vtv24
Zalo: https://zalo.me/1571891271885013375
Instagram: https://instagram.com/vtv24news/
Tiktok: tiktok.com/@vtv24news
Twitter: https://twitter.com/vtvdigitalnews
#VTVDigital #Tintuc",2023-08-30,VTV24,UCabsTV34JwALXKGMqHpvUiA,@vtv24,42,96563,https://www.youtube.com/watch?v=bE0mA6c8J6Y,medical_misinformation
youtube,shorts,cam kết khỏi bệnh,cam kết khỏi bệnh,cam kết khỏi bệnh,,,,,,,,ytsearch50:cam kết khỏi bệnh,medical_misinformation
youtube,shorts,cam kết khỏi bệnh,M3aTkbdh20U,"U60 Bị Thoát Vị Đĩa Đệm, Thử Ngay Bài Trị Liệu Sau #shorts","U60 Bị Thoát Vị Đĩa Đệm, Thử Ngay Bài Trị Liệu Sau #shorts",2024-06-18,Kim Ba Yoga,UCVAlCAxsdAXrYoTnU90BJYQ,@dangkimba,44,159943,https://www.youtube.com/watch?v=M3aTkbdh20U,medical_misinformation
youtube,shorts,cam kết khỏi bệnh,NsIeNpKLyrY,Thử Thách 1 Ngày Giảm 1 Kg Và Cái Kết Chấn Động ! #shorts || Yến Nồi Cơm Điện,"Ghé Thăm Shop Của Yến toàn đồ hấp dẫn nè: https://yen09082001.kol.eco/
Mọi người ơi ! ủng hộ và đăng kí giúp Yến mau sớm đạt 1,5tr subscribe với ạ để Yến có thêm nhiều động lực làm các video hay hơn !! cảm ơn mọi người !
Thử Thách 1 Ngày Giảm 1 Kg Và Cái Kết Chấn Động ! #shorts || Yến Nồi Cơm Điện

Liên Hệ Hợp Tác: bookingyenncd9319@gmail.com or 0935499307 (Ms. Rose)

#yennoicomdien #yenncd #yenthichreview

Follow Yến nha:
Youtube Yến Nồi Cơm Điện: https://popsww.com/YenNoiComDien
Tiktok Yến Nồi Cơm Điện: https://www.tiktok.com/@yennoicomdien?
Youtube Yến Thích Review:
https://www.youtube.com/channel/UCGJHY8Q9TMIfIlprV32cNXQ/featured
Tiktok Yến Thích Review: https://www.tiktok.com/@yenncd_review?lang=vi-VN
Facebook:https://www.facebook.com/NBHY17982001
Group Gia Đình Yến Nồi Cơm Điện 🤡 https://www.facebook.com/groups/1108852636190392/?ref=share

** Nếu có bất kì vấn đề nào liên quan đến bản quyền, vui lòng gửi mình email phía trên để mình cùng nhau thống nhất cách giải quyết. Cảm ơn sự hợp tác từ bạn !!
© Bản quyền thuộc về Yến Nồi Cơm Điện
© Copyright Yến Nồi Cơm Điện & Do not Reup",2022-12-29,Yến Nồi Cơm Điện,UC7E8Pnn_Dt9SVpVsE7LDnfw,@yennoicomdien,54,23355685,https://www.youtube.com/watch?v=NsIeNpKLyrY,medical_misinformation
youtube,shorts,cam kết khỏi bệnh,O6-NFeJDQoc,Khi người yêu và bạn thân ăn thừa kiểu #Shorts,"Chào mừng mọi người đã trở lại kênh youtube của mình 😆
Rất vui được gặp lại các bạn 💕, đừng quên like, đăng kí và bấm chuông ủng hộ Đạt trong các video tiếp theo nhé ❤️ 
Theo dõi Đạt trên:
🔹 TikTok: https://www.tiktok.com/@datdo0803
🔹 Facebook: https://www.facebook.com/dodat0803
🔹 Fanpage: https://www.facebook.com/datdo0803
📩 Contact for works: dodatofficial@gmail.com

#dodatofficial #dodat #dodattiktok #tiktok #dotiendat #giaitri #haihuoc #shorts 
----------------------/----------------------
© Bản quyền thuộc về Đỗ Đạt Official
© Copyright by Đỗ Đạt Official ☞ Do not Reup",2023-04-27,Đỗ Đạt Official,UCwn96A46mCiH1caoMhWfyBQ,@datdo0803,51,21220175,https://www.youtube.com/watch?v=O6-NFeJDQoc,medical_misinformation
youtube,shorts,cam kết khỏi bệnh,QfdzHK7Bf20,Chỉ số đường huyết bao nhiêu cảnh báo bệnh tiểu đường? | Dr Ngọc #shorts #short #drngoc,"Hãy đăng ký kênh của Dr Ngọc để theo dõi các video sau: https://drngoc.vn/youtube

------------------------------------------------------
Liên hệ Tư Vấn:
🔵 Zalo: https://drngoc.vn/tuvan
🔵 Mes: http://m.me/drngoclaser.vn
------------------------------------------------------
CÁC TRANG CHÍNH THỨC CỦA Dr NGỌC
👉 Fanpage: https://drngoc.vn/fanpage
👉 TikTok: https://drngoc.vn/tiktok
👉 Website: https://drngoc.vn
👉 Zalo Official: https://zalo.me/3537479183397239216
------------------------------------------------
© Bản quyền thuộc về Dr Ngoc Official
© Copyright by Dr Ngoc Official ☞ Do not Reup",2024-03-03,Dr Ngọc Official ,UCYO8RPtaJnD2bxC8CZl1_PA,@DrNgocOfficial,50,216380,https://www.youtube.com/watch?v=QfdzHK7Bf20,medical_misinformation
youtube,shorts,cam kết khỏi bệnh,QLIf4WdElPI,Hay chảy máu cam cảnh báo cơ thể đang thiếu chất gì? | Báo Lao Động,"BÁO LAO ĐỘNG | Thường xuyên chảy máu cam có thể là dấu hiệu cảnh báo việc cơ thể đang bị thiếu hụt một loại vitamin.

Mời quý vị và các bạn xem thêm: https://laodong.vn/media
──────────────────────────────
Bản quyền thuộc Báo Lao Động – Cơ quan của Tổng Liên đoàn Lao động Việt Nam.
* Website: https://laodong.vn
* Đường dây nóng: 096 838 3388
* Email: baolaodongdientu@gmail.com
* Fanpage: https://www.facebook.com/LaoDongTVOnline/

#baolaodong #bld",2024-11-19,Báo Lao Động,UCr8i-5AIxdiJbI0HdGdUzIA,@LaoDongTVOnline,55,25580,https://www.youtube.com/watch?v=QLIf4WdElPI,medical_misinformation
youtube,shorts,cam kết khỏi bệnh,QO-oKyGUEHk,bất ngờ xuất hiện vị thầy lạ cam kết chữa bệnh cho anh Sơn 3 ngày sẽ khỏi,,2025-12-12,Sóc Ghe Ngo 83,UCHQOdVYYEyO6KDXdkgEi9hg,@socghengo83,22,38721,https://www.youtube.com/watch?v=QO-oKyGUEHk,medical_misinformation
youtube,shorts,cam kết khỏi bệnh,VTnJnUuttpg,"xe không chính chủ, mua bán qua nhiều đời vẫn được sang tên, #xuhuong #pvtamnguyen #tiktoknews #bien","xe không chính chủ, mua bán qua nhiều đời vẫn được sang tên, #xuhuong #pvtamnguyen #tiktoknews #biensodinhdanh #xemaycu, #sangtenxe,#dangkyxe,#cavetxe, #oto, #xemay, #uyquenxe, #shorst 
----------
ĐĂNG KÝ DÙNG THỬ PHẦN MỀM:  https://easyinvoices.vn/bang-gia-chu-ky-so/
----------
ĐĂNG KÝ  LÀM ĐẠI LÝ: https://easyinvoices.vn/dang-ky-lam-dai-ly/
----------
KÊNH TƯ VẤN VÀ HỖ TRỢ KHÁCH HÀNG CỦA EASYINVOICES
- Tư vấn hóa đơn điện tử: 0962583777 - 0888162656
- Hỗ trợ kỹ thuật và CSKH: 1900 56 56 53 -  0964263333
KÊNH CUNG CẤP THÔNG TIN MỚI NHẤT VỀ THUẾ, KẾ TOÁN
 Website: https://easyinvoices.vn/
                  https://phanmembaohiemxahoi.com/
                  https://phanmembaohiem.com/

- Nhóm cộng đồng sử dụng hóa đơn điện tử, chữ ký số và phần mềm bảo hiểm xã hội: https://www.facebook.com/groups/800142297731231
- Trang Fanpage: https://fb.watch/lZI5ezAmSG/
- Zalo: 096 426 3333",2023-09-12,Số Hóa Doanh Nghiệp,UC4vIl1vL0meY4c4tV_wx5cQ,@linkensohoadoanhnghiep,42,2316999,https://www.youtube.com/watch?v=VTnJnUuttpg,medical_misinformation
youtube,shorts,cam kết khỏi bệnh,YRZX1KlYe9E,"Cách thông mũi khi bị nghẹt, chảy mũi.","#chiase #chaymui #phongbenh #drphanhongson

Hãy đăng ký kênh Dr Phan Hồng Sơn Official để nhận được video mới ngay lập tức.

Kết nối với Dr Phan Hồng Sơn:
Zalo: 0916225707
Mail: hongson790@gmail.com
Facebook: https://www.facebook.com/son790
Page: https://www.facebook.com/Dr.phanhongson",2021-08-19,Dr Phan Hồng Sơn,UC2O5WFhgi1QetFJYj_8phmQ,,23,737065,https://www.youtube.com/watch?v=YRZX1KlYe9E,medical_misinformation
