timestamp,title,excerpt
11 December 2025,How should we discuss risk vs benefit in the context of vaccination?,Guest comment piece from Professor Dame Sarah Gilbert and Sean Elias Read more…
5 December 2025,Revealed: how academics are being deepfaked on TikTok and Instagram to promote supplements,Strange videos of a professor offering cures for “thermometer leg” led Full Fact to uncover an army of social media accounts promoting wellness products with fake AI ‘endorsements’. Read more…
5 December 2025,Are one in six Scots waiting for NHS care?,"Scottish Labour claims one in six Scots are waiting for NHS care, but official figures estimate it’s actually around  one in nine, or over 11%. Read more…"
21 November 2025,The government is not going to track people’s shopping and fine them for buying unhealthy food,A series of social media videos falsely claim the government has introduced a “healthy basket bill” to monitor people’s food shopping. Read more…
19 November 2025,"No, you don’t need to buy a ‘£100 access card’ to use NHS services",Posts falsely claim the government is introducing a card costing £100 a year to access NHS services. No such card exists. The NHS is still free at the point of use for UK residents. Read more…
7 November 2025,Covid-19 vaccines do not contain ‘cancer-causing’ SV40 monkey virus,"A video shared over 9,000 times on Facebook makes a misleading claim about the presence of SV40 in Pfizer vaccines. Read more…"
30 October 2025,Official child obesity figures include tens of thousands of children who aren’t clinically obese,Ministers and the NHS have repeatedly said one in five children leave primary school obese—but data obtained by Full Fact casts doubt on that claim. Read more…
29 October 2025,Amish people do vaccinate - and autism exists in Amish communities,Social media claims that autism is less prevalent among Amish people because they don’t get vaccinated aren’t supported by the evidence. Read more…
17 October 2025,Coughing hard won’t save you from a heart attack if you’re alone,Incorrect social media posts claiming coughing really hard can help a heart attack are circulating online again. Read more…
17 October 2025,The government isn’t introducing a £10 charge for GP appointments,"Videos circulating on social media claim that from November it will cost £10 to see an NHS GP, with a £30 fine for missing an appointment. Read more…"
8 October 2025,What support do asylum seekers get in the UK?,"Can asylum seekers claim benefits, use the NHS or get a free iPhone? We’ve answered some of the most common questions we see about the support given. Read more…"
7 October 2025,When Power Meets the Wellness Algorithm:  Why We Mistake Virality for Truth,"Health misinformation today doesn’t come from a shifty snake oil salesman but from sources wrapped in confidence and intimacy: a president at a podium, a celebrity doctor on a podcast, or a wellness influencer who has been on our phones for years. Read more…"
7 October 2025,"ONS acts to improve understanding of suicide rates, after Full Fact investigation","Politicians, the media and the public should now be better informed about what the suicide data really shows. Read more…"
6 October 2025,Daily Mail corrects article about Covid vaccines and cancer,The article wrongly said a study claimed to have found proof the vaccines raised the risk of getting several types of cancer. Read more…
26 September 2025,"No, tumours aren’t ‘bags’ of toxins and biopsies don’t release them",Incorrect claims that tumours are part of the body’s healing response to cancer and that biopsies release toxins have been circulating online. Read more…
24 September 2025,Donald Trump linked paracetamol to autism - here’s what the science says,"Leading experts and health bodies say taking paracetamol in pregnancy is safe and, despite an association in some studies, there is no good evidence it causes autism. Read more…"
22 September 2025,Chickenpox vaccine claims: fact checked,"After it was announced that young children  will be offered the vaccine by the NHS in 2026, we’ve seen false and misleading claims circulating on social media. Read more…"
8 September 2025,Covid vaccine claims at the Reform UK conference: fact checked,"A cardiologist called Dr Aseem Malhotra, who we have fact checked before, made unevidenced and misleading claims at the event in Birmingham. Read more…"
4 September 2025,Do ‘gallbladder flushes’ actually remove gallstones from the body?,"A popular alternative therapy which claims to ‘flush out’ gallstones is not a proven treatment, and research has shown it likely creates the stones it’s meant to remove. Read more…"
1 September 2025,The claim that sunglasses cause cancer isn’t backed by evidence,A man in a video saying sunglasses are bad for you makes claims that have no scientific basis. Read more…
28 August 2025,Covid vaccines did not cause a 300% rise in cancer and miscarriage rates,Claims of sudden disease spikes in US military personnel in 2021 were based on an error in a government database. Read more…
19 August 2025,Robert F Kennedy Jr wrong about mRNA vaccines’ effectiveness,"The US health secretary has cancelled research into mRNA vaccines, but his reasons seem to be based on bad information about their effectiveness. Read more…"
12 August 2025,Did ‘nine out of 10 nurses’ reject their pay award?,Articles published in the Guardian and Telegraph about the results of a recent Royal College of Nursing vote could do with context. Read more…
7 August 2025,Times corrects Ozempic headline after Full Fact intervention,"The Times has amended a headline that incorrectly suggested doctors should monitor patients taking Ozempic injections in order to lose weight for a year following treatment, after the paper was … Read more…"
25 July 2025,Vaccines have not caused a rise in autism in Vietnam,Claims that there was no autism in Vietnam before this century seem to have no basis—and vaccines are proven not to cause autism. Read more…
9 July 2025,Did most resident doctors vote to strike?,"Of those voting, 90% supported strike action. But turnout was just over 55%, so many of those eligible didn’t vote at all. Read more…"
4 July 2025,"No, there’s no evidence sunglasses cause cancer","By filtering out the harmful UV rays from sunlight, verified sunglasses protect your eyes and the skin around them, and their use is widely recommended, including by the NHS. Read more…"
20 June 2025,John’s story: when health misinformation leads to harm,"Over the years, we’ve checked a number of false and misleading claims about statins. Read more…"
16 June 2025,Resident doctors’ pay: how much do they earn and what is the BMA calling for?,"Resident (formerly “junior”) doctors voted to support strikes in 2025. We explain how much different types of resident doctor get paid, and what their union has called for. Read more…"
13 June 2025,How many hospitals are in Kemi Badenoch’s constituency? It depends on who you ask,"At this week’s Prime Minister’s Questions, Sir Keir Starmer mentioned new scanners being installed in “two hospitals in the constituency of the Leader of the Opposition”. Kemi Badenoch replied: “Perhaps … Read more…"
12 June 2025,NHS England chair mixes up people and cases on the waiting list,"The chair of NHS England, Dr Penny Dash, said at the NHS ConfedExpo Conference yesterday (22:45): “There are seven and a half million people on the waiting list.” This was … Read more…"
4 June 2025,Telegraph overstates resident doctors’ pay demands,"The union representing resident doctors is not asking for an extra 29% on top of this year’s 5.4% pay rise, as the paper reported. The demand is for a 29% rise on last year’s pay. Read more…"
29 May 2025,Can vitamin A ‘prevent and treat’ measles?,We look at a misleading claim in an Instagram video about vitamin A and measles. Read more…
23 May 2025,New data reveals rise in NHS appointments hailed by government is smaller than last year’s increase,"Figures obtained by Full Fact show how the recent increase in hospital appointments, and Labour’s pledge to carry out “an extra two million”, compare to previous years. Read more…"
22 May 2025,"Yes, biopsies are necessary for diagnosing cancer",A misleading video downplays the importance of biopsies and claims they spread cancer. Read more…
21 May 2025,Does the UK really have the 12th largest ‘female health gap’ in the world?,"Unreliable research from a male wellness company, which claimed that women are less healthy than men in the UK, has been widely shared by MPs, the media and institutions around the country. Read more…"
15 May 2025,NHS England corrects working days error in hospital appointments calculation,"NHS England has corrected a mistake in its calculation of the number of extra hospital appointments delivered so far by the Labour government, after Full Fact challenged the error.NHS England … Read more…"
15 May 2025,"No, the US Supreme Court has not ruled that Covid vaccines are ‘not vaccines’",Familiar misinformation about Covid vaccines being gene therapy is circulating again. Read more…
8 May 2025,The government hasn’t published data to support its claim about the NHS App stopping 1.5 million appointments being missed,Last week the Government announced that “reform” of the NHS App has prevented 1.5 million hospital appointments from being missed. It also made a number of other claims about the … Read more…
30 April 2025,Is Labour right to claim Reform UK would ‘scrap the NHS’?,"In the run-up to the local elections, Labour is warning Reform UK would make people pay to use the health service—a claim the party’s strongly denied. Full Fact looks at the evidence. Read more…"
